차주일련번호,차주구분코드,생년,성별,내국인여부,연체정보,최근 3개월 연체 건수,최근 6개월 연체 여부,공공정보 등록 건수,최근 3개월 공공정보 여부,최근 6개월 공공정보 여부,카드개설건수,신용판매한도금액,현금서비스한도금액,신용판매이용금액,현금서비스이용금액,최근3개월 신용판매 이용금액,최근3개월 현금서비스 이용금액,최근6개월 신용판매 이용금액,최근6개월 현금서비스 이용금액,보증금액,대출금액,대출금액_대부업권
166677 ,1 ,1971 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3800 ,0 
211272 ,1 ,1991 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,18900 ,7500 ,810 ,0 ,450 ,0 ,406 ,0 ,0 ,2400 ,0 
351218 ,1 ,1954 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1562431 ,1 ,1967 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,32000 ,12400 ,1140 ,0 ,377 ,0 ,577 ,0 ,0 ,45000 ,0 
544241 ,1 ,1965 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,88000 ,30400 ,1420 ,0 ,328 ,0 ,336 ,0 ,0 ,0 ,0 
41472 ,1 ,1984 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,24000 ,8400 ,290 ,0 ,565 ,0 ,398 ,0 ,0 ,0 ,0 
1121897 ,1 ,1974 ,2 ,1 ,0 ,0 ,0 ,1 ,3 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
936975 ,1 ,1973 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,30000 ,12200 ,580 ,0 ,322 ,0 ,739 ,0 ,0 ,0 ,0 
323952 ,1 ,1975 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,57000 ,20100 ,2530 ,0 ,719 ,0 ,593 ,0 ,0 ,47000 ,0 
1246964 ,1 ,1978 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,48000 ,16600 ,1900 ,0 ,1033 ,0 ,908 ,0 ,0 ,130000 ,0 
687999 ,1 ,2005 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1936113 ,1 ,1984 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10530 ,0 
695082 ,1 ,1962 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,30800 ,12400 ,1340 ,0 ,230 ,0 ,270 ,0 ,0 ,0 ,0 
1008235 ,1 ,1983 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,4800 ,2000 ,1300 ,0 ,667 ,0 ,623 ,0 ,0 ,0 ,0 
1602020 ,1 ,1995 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,5600 ,2200 ,1400 ,0 ,342 ,0 ,342 ,0 ,0 ,0 ,0 
1151833 ,1 ,1964 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,60000 ,24000 ,4410 ,0 ,1273 ,0 ,1337 ,0 ,0 ,0 ,0 
887493 ,1 ,1955 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,15400 ,5200 ,100 ,0 ,83 ,0 ,67 ,0 ,0 ,0 ,0 
382326 ,1 ,1963 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,26000 ,10400 ,1250 ,0 ,1225 ,0 ,1126 ,0 ,0 ,190000 ,0 
381478 ,1 ,1964 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,54000 ,20700 ,1460 ,0 ,506 ,0 ,509 ,0 ,0 ,154000 ,0 
1455808 ,1 ,1987 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,2000 ,0 ,1200 ,0 ,683 ,0 ,717 ,0 ,0 ,43310 ,0 
217743 ,1 ,1964 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
883563 ,1 ,1978 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,22000 ,8200 ,200 ,0 ,108 ,0 ,125 ,0 ,0 ,0 ,0 
531538 ,1 ,1987 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,7200 ,3000 ,750 ,0 ,246 ,0 ,276 ,0 ,0 ,0 ,0 
1434692 ,1 ,1985 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,330 ,0 ,0 ,0 ,0 
1351088 ,1 ,1981 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,92000 ,20400 ,870 ,0 ,98 ,0 ,108 ,0 ,0 ,23700 ,0 
969470 ,1 ,1957 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8100 ,0 
1652492 ,1 ,1978 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,38000 ,8800 ,1600 ,0 ,457 ,0 ,253 ,0 ,0 ,0 ,0 
565809 ,1 ,1995 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
714452 ,1 ,1973 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,26000 ,10600 ,370 ,0 ,180 ,0 ,208 ,0 ,0 ,0 ,0 
145522 ,1 ,1981 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,2000 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,88300 ,0 
1877615 ,1 ,1952 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
471790 ,1 ,1935 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,52000 ,20000 ,1100 ,0 ,388 ,0 ,536 ,0 ,0 ,96000 ,0 
1650210 ,1 ,1964 ,1 ,1 ,0 ,4 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4500 ,2500 
1025072 ,1 ,1965 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1300 ,0 
1206128 ,1 ,1978 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,52000 ,20000 ,760 ,0 ,198 ,0 ,250 ,0 ,0 ,69000 ,0 
318874 ,1 ,1968 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,68000 ,26000 ,2130 ,0 ,628 ,0 ,434 ,0 ,0 ,27300 ,0 
951224 ,1 ,1989 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,233 ,0 ,0 ,0 ,0 
163007 ,1 ,1993 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1802679 ,1 ,1974 ,1 ,1 ,0 ,0 ,0 ,1 ,3 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1602214 ,1 ,1977 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,60000 ,17700 ,1520 ,0 ,852 ,0 ,668 ,0 ,0 ,2700 ,0 
702862 ,1 ,1963 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,34000 ,12400 ,3000 ,0 ,1500 ,0 ,1558 ,0 ,0 ,127600 ,0 
1249209 ,1 ,1994 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,560 ,430 ,453 ,158 ,356 ,158 ,0 ,20930 ,0 
1779334 ,1 ,1980 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,45000 ,17400 ,1400 ,0 ,489 ,0 ,528 ,0 ,0 ,2700 ,0 
743319 ,1 ,1974 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,25200 ,6900 ,100 ,0 ,54 ,0 ,50 ,0 ,0 ,0 ,0 
1921666 ,1 ,1950 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1749120 ,1 ,1983 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,120000 ,40000 ,10200 ,0 ,2000 ,0 ,1808 ,0 ,0 ,290000 ,0 
1461442 ,1 ,1967 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,7000 ,2000 ,640 ,100 ,268 ,325 ,268 ,325 ,0 ,132840 ,0 
