YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,COM_SN,IS_ME,DLQ_CD_1,DLQ_CD_2,DLQ_RGST_DT,DLQ_RGST_AMT,DLQ_AMT,RLS_RSN_CD,RLS_DT
202004,56488,1,0,24,3941527,0,0101,0,201606,21000,11000,00,000000
202004,818279,1,0,01,8576723,0,0101,7,201205,2000,2000,99,201905
201909,1881966,1,0,24,11775,0,0101,0,201601,3600,3600,00,000000
201911,1008217,1,0,24,6135237,0,0101,0,201709,780,780,00,000000
201905,1227143,1,0,03,4800458,0,0101,7,201301,10000,10000,00,000000
201901,877396,1,0,03,1832907,0,0203,0,201212,3200,3200,00,000000
201809,1753399,1,0,01,3218147,0,0101,0,201808,480,120,00,000000
202004,280824,1,0,24,1016150,0,0101,0,201812,1600,1600,00,000000
201901,70442,1,0,12,5513566,0,0112,0,201403,950,950,00,000000
201809,1227143,1,0,03,4800458,0,0101,7,201212,9400,920,00,000000
201807,473853,1,0,12,9718758,0,0112,0,201701,3500,3500,00,000000
202002,1606164,1,0,24,4084087,0,0101,0,201808,3500,3500,00,000000
201902,1807387,1,0,12,450553,0,0201,0,201708,900,390,00,000000
201903,1327076,1,0,05,8667064,0,0104,7,201410,270,270,00,000000
201911,1026169,1,161379,12,9346979,0,0202,0,201306,8200,7900,00,000000
201912,959742,1,0,24,6362821,0,0101,0,201803,1800,1800,00,000000
202003,1103380,1,139560,12,8505111,0,0202,7,201707,19000,19000,00,000000
201806,843404,1,0,12,9667899,0,0201,0,201605,870,870,00,000000
201909,1008217,1,0,24,937891,0,0101,0,201704,2000,2000,00,000000
201807,433575,1,0,05,7208264,0,0103,7,201707,18000,18000,00,000000
202005,504767,1,0,24,379875,0,0101,0,201907,3900,3900,00,000000
202006,1193489,1,105131,05,1375533,0,0104,7,201303,2500,2400,99,202003
201909,1103380,1,0,12,9380096,0,0115,0,201907,200,200,00,000000
202005,877396,1,0,03,1832907,0,0203,0,201212,3200,3200,99,201912
202003,70442,1,0,12,5513566,0,0112,0,201403,950,950,00,000000
201912,1300052,1,0,12,4048021,0,0202,7,201708,9000,7000,00,000000
201904,1848591,1,0,12,3420952,0,0101,0,201212,29000,29000,00,000000
201908,433575,1,0,05,7208264,0,0103,7,201707,18000,18000,00,000000
201806,561202,1,0,12,7943184,0,0201,0,201611,700,700,00,000000
201903,620024,1,38980,05,108385,0,0104,7,201806,2600,2600,00,000000
201810,473853,1,0,05,4646597,0,0104,7,201701,800,800,00,000000
