YM,JOIN_SN,JOIN_SN_TYP,BIZ_SN,SCTR_CD,COM_SN,IS_ME,DLQ_CD_1,DLQ_CD_2,DLQ_RGST_DT,DLQ_RGST_AMT,DLQ_AMT,RLS_RSN_CD,RLS_DT
201910,1343421,1,0,12,5897252,0,0801,0,201503,5100,0,00,000000
201908,70442,1,0,12,3526055,0,0601,0,201308,0,0,00,000000
201910,901612,1,0,12,8017200,0,0801,0,201302,2200,0,00,000000
201910,1871432,1,0,12,7360320,0,0801,0,201709,4400,0,00,000000
201810,1520245,1,0,12,2681136,0,1201,0,201411,0,0,00,000000
201808,398480,1,0,12,1720117,0,0801,0,201202,10000,0,00,000000
201908,458967,1,0,12,5034547,0,0801,0,201705,10000,0,00,000000
201809,1422268,1,0,12,3905658,0,0601,0,201505,0,0,00,000000
201811,855491,1,0,12,8999480,0,1201,0,201712,0,0,00,000000
201812,398559,1,0,12,284193,0,0801,0,201812,6400,0,00,000000
201907,544169,1,0,12,4654818,0,0601,0,201511,0,0,00,000000
201809,1344759,1,0,12,7214432,0,0801,0,201605,8500,0,00,000000
201909,959471,1,0,12,3992045,0,0801,0,201310,4400,0,00,000000
201908,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201906,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
201910,25738,1,0,12,8050188,0,0801,0,201702,1000,0,00,000000
202004,280824,1,0,12,9109029,0,0601,0,201312,0,0,00,000000
201809,195202,1,0,12,7639660,0,1201,0,201511,0,0,00,000000
202002,890200,1,0,12,6000565,0,0801,0,201408,10000,0,00,000000
201912,396184,1,0,12,6365008,0,1301,0,201903,0,0,00,000000
201909,593747,1,0,12,6394911,0,0601,0,201312,0,0,00,000000
201903,624179,1,0,12,4974721,0,0601,0,201504,0,0,00,000000
201906,108250,1,0,12,5173768,0,0801,0,201812,2200,0,00,000000
201912,139209,1,0,12,5088806,0,0601,0,201906,0,0,00,000000
202005,433575,1,0,12,4819246,0,0601,0,201710,0,0,00,000000
