YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,BRWR_LN_CD,RPT_CD,LN_ACCT_CD,LN_AMT
202004,1035876,1,01,7597147,0,1,31,107,150000
202005,279645,1,03,1895219,0,1,31,690,140000
201904,382326,1,01,6192489,0,1,32,713,18000
201912,1321668,3,12,9602953,0,1,31,640,36000
201901,1120205,3,01,8474917,0,1,31,610,210000
201811,523121,3,01,7438899,0,1,31,130,52000
201904,700323,1,01,9714113,0,1,31,610,390000
201902,1120205,3,12,8253389,0,1,31,307,1100
202002,1082751,3,12,8026497,0,1,31,690,30000
201905,214754,1,01,5435862,0,1,31,105,1000
202004,561491,3,01,1662870,0,1,31,130,720000
202001,523121,3,01,5319734,0,1,31,130,1200000
201907,296279,1,15,562598,0,1,31,690,14000
201904,196429,3,01,9495850,0,1,31,690,330000
201807,968019,1,12,2624941,0,1,31,390,29000
201809,1831438,3,01,25432,0,1,32,713,300000
201912,1767206,3,17,4264137,0,1,31,610,78000
201908,1049432,1,12,5871017,0,1,31,390,69000
201904,1918550,3,01,3877778,0,1,31,690,27000
201909,1676114,1,01,1160952,0,1,31,105,14000
202002,1475660,1,03,1835998,0,1,32,713,1000000
202005,1957691,3,10,7589682,0,1,31,690,3700000
202004,1475660,1,03,1835998,0,1,31,190,550000
201901,1767317,3,01,1217926,0,1,32,600,200000
202001,1597931,1,12,1273290,0,1,31,690,2200
201808,1693514,1,01,57854,0,1,31,690,1000000
201904,638087,1,17,5712322,0,1,31,190,1200
201909,1151833,1,01,3566978,0,1,31,690,360000
201810,1918550,3,01,3877778,0,1,31,130,27000
201905,1564541,1,12,8563093,0,1,31,640,13000
202001,247649,3,12,1252471,0,1,31,640,280000
201811,1890736,1,12,3310305,0,1,31,690,22000
202001,382326,1,01,6192489,0,1,31,610,17000
201808,366162,1,12,533829,0,1,31,301,6400
201903,1786001,3,12,7843233,0,1,31,301,310000
202003,844999,1,01,9660762,0,1,31,690,22000
201910,1227243,1,01,9648641,0,1,31,690,840000
201903,534841,1,12,8917077,0,1,31,301,4500
201911,1535081,1,01,8007339,0,1,31,107,39000
201907,225231,3,01,4846210,0,1,31,490,14000
201902,696589,1,01,9379775,0,1,31,690,18000
202002,153881,1,01,5952785,0,1,31,107,110000
201907,27166,1,01,1178787,0,1,31,690,200000
201905,684744,3,01,1734438,0,1,31,409,7200
201906,959742,1,01,9447729,0,1,31,650,1000
201807,1603757,3,01,3305716,0,1,31,690,28000
201911,1770235,1,01,925443,0,1,31,610,390000
201908,844999,1,12,9061597,0,1,31,390,22000
201901,1767317,3,01,8932526,0,1,31,130,64000
201806,53998,1,01,1680502,0,1,31,610,160000
201906,214728,1,03,6001824,0,1,31,106,590000
201902,1831347,1,01,1879989,0,1,31,650,1100
202006,1736116,1,01,1948056,0,1,31,690,29000
201807,18917,1,01,1033688,0,1,31,130,9000
201909,1535081,1,01,8007339,0,1,31,190,39000
201907,1943599,1,01,3017732,0,1,31,690,6600
201901,1164151,3,05,5182115,0,1,31,190,46000
201902,561491,3,12,2672881,0,1,31,690,47000
201911,565398,1,01,867700,0,1,31,105,9000
201908,1151833,1,01,3566978,0,1,31,105,160000
202002,1041905,1,01,8171268,0,1,31,610,150000
201812,191188,1,01,1559371,0,1,31,130,40000
201912,27166,1,01,1178787,0,1,31,105,8000
201811,660017,1,12,9810204,0,1,31,690,24000
201909,1796281,1,12,9937200,0,1,31,390,12000
201907,1767206,3,17,2966034,0,1,31,189,5500
202003,1282652,3,01,8552691,0,1,31,610,6500000
