YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
202001,269626,1,24,9334468,0,0031,100,000,201704,3600,1,01,202204,28000,0
201909,1606164,1,24,8520866,0,0031,100,000,201711,3500,0,00,000000,0,0
202006,1798491,1,24,5522901,0,0031,100,000,202002,6300,1,04,202105,21000,0
201901,269626,1,24,9486264,0,0031,100,000,201611,11000,0,00,000000,0,0
201908,396184,1,24,6832621,0,0031,100,000,201708,450,1,01,202112,28000,0
201808,622840,1,24,469834,0,0031,100,000,201606,2700,0,00,000000,0,0
201903,9212,1,24,4592515,0,0031,100,000,201607,1700,0,00,000000,0,0
201905,1137569,1,24,7212253,0,0031,100,000,201711,3500,1,04,202004,28000,0
201810,1729585,1,24,4258787,0,0031,100,000,201306,4800,0,00,000000,0,0
201809,269626,1,24,7959718,0,0031,100,000,201711,2700,0,00,000000,0,0
201808,353990,1,24,1201246,0,0031,100,000,201110,4000,0,00,000000,0,0
201903,1008217,1,24,937891,0,0031,100,000,201302,2000,0,00,000000,0,0
202001,1745651,1,24,7193571,0,0031,100,000,201804,18000,1,01,202104,24000,0
201811,280824,1,24,7819121,0,0031,100,000,201805,1800,0,00,000000,0,0
201908,1581724,1,24,3302257,0,0031,100,000,201305,5700,0,00,000000,0,0
201906,720252,1,24,4999296,0,0031,100,000,201605,1400,1,01,202105,28000,0
201901,1881966,1,24,11775,0,0031,100,000,201405,3600,0,00,000000,0,0
201810,53824,1,24,8132755,0,0031,100,000,201708,5200,0,00,000000,0,0
201811,1606164,1,24,8520866,0,0031,100,000,201711,3500,0,00,000000,0,0
202005,1660610,1,24,9827673,0,0031,100,000,201911,1100,1,01,202411,24000,0
202003,1133879,1,24,8317840,0,0031,100,000,201511,3300,0,00,000000,0,0
201907,322773,1,24,9961852,0,0031,100,000,201704,2100,1,01,202204,24000,0
201911,1300052,1,24,65011,0,0031,100,000,201611,3600,1,01,202111,28000,0
201909,269626,1,24,9334468,0,0031,100,000,201704,3600,1,01,202204,28000,0
201808,554793,1,24,1166480,0,0031,100,000,201508,3900,0,00,000000,0,0
201908,1761685,1,24,9491145,0,0031,100,000,201506,2300,1,04,202106,24000,0
