차주일련번호,차주구분코드,생년,성별,내국인여부,연체정보,최근 3개월 연체 여부,최근 6개월 연체 여부,공공정보,최근 3개월 공공정보 여부,최근 6개월 공공정보 여부,카드개설건수,신용판매한도금액,현금서비스한도금액,신용판매이용금액,현금서비스이용금액,최근3개월 신용판매 이용금액,최근3개월 현금서비스 이용금액,최근6개월 신용판매 이용금액,최근6개월 현금서비스 이용금액,보증금액,대출금액,대출금액_대부업권
74501,1,2000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1883650,1,2009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166677,1,1971,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211272,1,1991,2,1,0,0,0,0,0,0,4,356800,7500,900,0,1350,0,6242.857143,0,0,0,0
351218,1,1954,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1562431,1,1967,1,1,0,0,0,0,0,0,2,800000,12400,1050,0,753,0,16000,0,0,0,0
544241,1,1965,1,1,0,0,0,0,0,0,4,1234000,30400,1790,0,1313,0,19120,0,0,0,0
41472,1,1984,2,1,0,0,0,0,0,0,3,307800,8400,640,0,1130,0,12000,0,0,118000,0
546656,1,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932409,1,1993,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1121897,1,1974,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1662919,1,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464981,1,1956,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
936975,1,1973,2,1,0,0,0,0,0,0,2,754200,12200,440,0,643,0,15000,0,0,0,0
930437,1,1966,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323952,1,1975,1,1,0,0,0,0,0,0,3,790800,20100,1730,0,2157,0,18000,0,0,0,0
1246964,1,1978,1,1,0,0,0,0,0,0,2,790600,16600,1600,0,2067,0,24000,0,0,0,0
687999,1,2005,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1936113,1,1984,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
384640,1,2000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695082,1,1962,1,1,0,0,0,0,0,0,4,591500,12400,1880,0,920,0,7700,0,0,0,0
1233002,1,2002,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371557,1,1998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008235,1,1983,2,1,0,0,0,0,0,0,2,127200,2000,2900,0,1333,0,2914.285714,0,0,0,0
1602020,1,1995,1,1,0,0,0,0,0,0,2,22400,2200,380,0,683,0,2800,0,0,0,0
1151833,1,1964,1,1,0,0,0,0,0,0,4,1884000,63000,6830,0,2547,0,27066.66667,0,0,1550000,0
1804298,1,2002,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
